,importance,name
194,0.0009620650608534574,"sensor2__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)"
316,0.0009585457561692662,sensor2__cid_ce__normalize_False
899,0.0009418101056487811,"sensor1__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)"
307,0.0009181893216332287,"sensor2__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
58,0.0009080667891527115,"sensor1__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)"
611,0.0008974681227383543,"sensor1__fft_coefficient__attr_""abs""__coeff_4"
505,0.0008550473188323244,"sensor3__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)"
396,0.0008122120733600207,"sensor1__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)"
353,0.000787184957298305,"sensor0__fft_coefficient__attr_""real""__coeff_3"
510,0.0007634269072030914,sensor3__c3__lag_3
60,0.0007620018597864807,sensor0__longest_strike_below_mean
327,0.0007608154355084345,"sensor1__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
467,0.0007438623863567997,"sensor0__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)"
67,0.0007391689129274199,"sensor0__fft_aggregated__aggtype_""variance"""
168,0.0007374164694526717,"sensor2__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)"
359,0.0007280757711928343,"sensor0__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)"
209,0.0007275383779890317,"sensor0__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)"
21,0.0006690693370099365,"sensor0__fft_coefficient__attr_""abs""__coeff_6"
465,0.000662525596235529,"sensor3__fft_coefficient__attr_""abs""__coeff_3"
199,0.0006329402020327183,"sensor2__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2"
508,0.0006158704228901838,"sensor3__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
